material_id,pretty_formula,elements,count,density,elasticity.poisson_ratio,elasticity.K_VRH,melting_point,thermal_conductivity,radius,electronegativity,specific_heat,spacegroup.crystal_system,C11,C22,C33,C12,C13,C23,C44,C55,C66
mp-2121,ScAl3,"['Sc', 'Al']","[1, 3]",3.017273431,0.17,84,1153.6025,180.25,1.345,0.142404325,0.814,cubic,177,177,177,38,38,38,71,71,71
mp-2123,Nb3Au2,"['Nb', 'Au']","[3, 2]",12.3323018,0.34,173,2184.932,160.4,1.884,0.18139492,0.2124,tetragonal,234,234,253,153,132,132,64,64,81
mp-2126,HfIr3,"['Hf', 'Ir']","[1, 3]",20.07022805,0.27,276,2680.75,118.25,1.87,0.24579175,0.13625,cubic,398,398,398,215,215,215,206,206,206
mp-213,CaPd,"['Ca', 'Pd']","[1, 1]",5.534699774,0.33,58,1471.525,136,1.815,0.12971975,0.4485,cubic,80,80,80,47,47,47,26,26,26
mp-21400,Ga3Pt2,"['Ga', 'Pt']","[3, 2]",11.7095421,0.36,131,998.306,46.2,1.524,0.20619038,0.2764,trigonal,172,172,197,99,112,112,46,46,36
mp-2151,Mg17Al12,"['Mg', 'Al']","[17, 12]",2.094692395,0.29,50,927.3324138,191.0344828,1.338275862,0.133409793,0.973275862,cubic,92,92,92,28,28,28,19,19,19
mp-2157,Co3W,"['Co', 'W']","[3, 1]",12.92411922,0.28,279,2249.75,117.5,1.6225,0.167189825,0.37525,hexagonal,487,487,535,192,155,155,119,119,147
mp-21845,FePd3,"['Fe', 'Pd']","[1, 3]",10.540231,0.32,174,1823.7875,74,1.6575,0.142834,0.29375,cubic,235,235,235,144,144,144,96,96,96
mp-22050,Hf2In5,"['Hf', 'In']","[2, 5]",9.280933115,0.24,72,1022.964286,65.14285714,1.708571429,0.183017714,0.208857143,tetragonal,168,127,127,39,39,37,35,46,46
mp-22095,Ga2Pt,"['Ga', 'Pt']","[2, 1]",10.27794086,0.41,114,882.4066667,43.33333333,1.496666667,0.200554867,0.292333333,cubic,130,130,130,105,105,105,32,32,32
